﻿Instruction1.keys,Instruction1.rt,Instruction2.keys,Instruction2.rt,key_resp_iso.keys,key_resp_iso.corr,key_resp_iso.rt,Practice_01.thisRepN,Practice_01.thisTrialN,Practice_01.thisN,Practice_01.thisIndex,Practice_01.ran,Words,ans,participant,session,date,expName,psychopyVersion,OS,frameRate,key_resp_3.keys,key_resp_3.rt,key_resp_ipn.keys,key_resp_ipn.corr,key_resp_ipn.rt,Practice_02.thisRepN,Practice_02.thisTrialN,Practice_02.thisN,Practice_02.thisIndex,Practice_02.ran,Words_ipn,ans_ipn,key_resp_4.keys,key_resp_4.rt,key_resp_t1.keys,key_resp_t1.corr,Practice_T1.thisRepN,Practice_T1.thisTrialN,Practice_T1.thisN,Practice_T1.thisIndex,Practice_T1.ran,Words_t1,ans_t1,key_resp_t1.rt,key_resp_5.keys,key_resp_5.rt,Formal_T1.thisRepN,Formal_T1.thisTrialN,Formal_T1.thisN,Formal_T1.thisIndex,Formal_T1.ran,key_resp_6.keys,key_resp_6.rt,key_resp_iso_reverse.keys,key_resp_iso_reverse.corr,key_resp_iso_reverse.rt,Practice_iso_Reverse.thisRepN,Practice_iso_Reverse.thisTrialN,Practice_iso_Reverse.thisN,Practice_iso_Reverse.thisIndex,Practice_iso_Reverse.ran,key_resp_7.keys,key_resp_7.rt,key_resp_t2_Practice.keys,key_resp_t2_Practice.corr,Practice_t2_Reverse.thisRepN,Practice_t2_Reverse.thisTrialN,Practice_t2_Reverse.thisN,Practice_t2_Reverse.thisIndex,Practice_t2_Reverse.ran,Words_t2,ans_t2,key_resp_t2_Practice.rt,key_resp_8.keys,key_resp_8.rt,key_resp_t2.keys,key_resp_t2.corr,key_resp_t2.rt,Formal_t2_reverse.thisRepN,Formal_t2_reverse.thisTrialN,Formal_t2_reverse.thisN,Formal_t2_reverse.thisIndex,Formal_t2_reverse.ran,key_instruct.keys,key_instruct.rt
space,3.5892,space,8.3986,e,1,0.7075,0,0,0,2,1,我们,e,1,001,2025-01-02_15h43.15.834,IAT(Formal),2021.2.3,Win32,142.8571429,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,i,1,0.6118,0,1,1,9,1,其他,i,1,001,2025-01-02_15h43.15.834,IAT(Formal),2021.2.3,Win32,142.8571429,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,e,1,0.3974,0,2,2,0,1,我,e,1,001,2025-01-02_15h43.15.834,IAT(Formal),2021.2.3,Win32,142.8571429,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,i,1,0.6519,0,3,3,7,1,他的,i,1,001,2025-01-02_15h43.15.834,IAT(Formal),2021.2.3,Win32,142.8571429,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,i,1,0.5642,0,4,4,6,1,他们,i,1,001,2025-01-02_15h43.15.834,IAT(Formal),2021.2.3,Win32,142.8571429,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,i,1,0.4067,0,5,5,5,1,他,i,1,001,2025-01-02_15h43.15.834,IAT(Formal),2021.2.3,Win32,142.8571429,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,e,1,0.404,0,6,6,1,1,我的,e,1,001,2025-01-02_15h43.15.834,IAT(Formal),2021.2.3,Win32,142.8571429,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,e,1,0.4696,0,7,7,4,1,俺,e,1,001,2025-01-02_15h43.15.834,IAT(Formal),2021.2.3,Win32,142.8571429,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,i,1,0.4319,0,8,8,8,1,他人,i,1,001,2025-01-02_15h43.15.834,IAT(Formal),2021.2.3,Win32,142.8571429,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,e,1,0.4243,0,9,9,3,1,自己,e,1,001,2025-01-02_15h43.15.834,IAT(Formal),2021.2.3,Win32,142.8571429,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,1,001,2025-01-02_15h43.15.834,IAT(Formal),2021.2.3,Win32,142.8571429,space,1.9957,e,1,0.8692,0,0,0,16,1,冷静,e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,1,001,2025-01-02_15h43.15.834,IAT(Formal),2021.2.3,Win32,142.8571429,,,i,1,0.4344,0,1,1,37,1,固执,i,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,1,001,2025-01-02_15h43.15.834,IAT(Formal),2021.2.3,Win32,142.8571429,,,i,1,0.5276,0,2,2,28,1,鲁莽,i,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,1,001,2025-01-02_15h43.15.834,IAT(Formal),2021.2.3,Win32,142.8571429,,,i,1,0.6157,0,3,3,27,1,傲慢,i,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,1,001,2025-01-02_15h43.15.834,IAT(Formal),2021.2.3,Win32,142.8571429,,,i,1,0.6177,0,4,4,38,1,轻率,i,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,1,001,2025-01-02_15h43.15.834,IAT(Formal),2021.2.3,Win32,142.8571429,,,e,1,0.4879,0,5,5,19,1,诚恳,e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
